Task,Task time,Index diff time,Start Time,End Time
u12_SNP_A0_3,41.655,41.632,1540936889123,1540936930778
u12_SNP_A0_4,49.383,49.352000000000004,1540936957314,1540937006697
u12_SNP_A0_5,224.851,224.72,1540937066844,1540937291695
u12_SNP_A0_6,66.292,66.252,1540937359029,1540937425321
u13_HA_A0_6,73.886,73.828,1540509269682,1540509343568
u13_HA_A0_7,23.822,23.804000000000002,1540509353879,1540509377701
u13_HA_A0_1,26.66,26.636,1540509403462,1540509430122
u13_HA_A0_2,20.592,20.576,1540509441715,1540509462307
u13_HA_A0_3,21.366,21.348,1540509463691,1540509485057
u13_HA_A0_4,41.868,41.832,1540509510725,1540509552593
u13_HA_A0_5,58.384,58.34,1540509586229,1540509644613
u13_JOY_A0_7,9.353,9.348,1540420475127,1540420484480
u13_JOY_A0_1,17.779,17.764,1540420497543,1540420515322
u13_JOY_A0_2,17.666,17.656,1540420521154,1540420538820
u13_JOY_A0_3,10.654,10.644,1540420539965,1540420550619
u13_JOY_A0_4,30.834,30.812,1540420571814,1540420602648
u13_JOY_A0_5,35.034,35.008,1540420635447,1540420670481
u13_JOY_A0_6,16.889,16.876,1540420691888,1540420708777
u13_SNP_A0_1,34.263,34.24,1539817385506,1539817419769
u13_SNP_A0_2,60.662,60.620000000000005,1539817436299,1539817496961
u13_SNP_A0_3,17.499,17.488,1539817497929,1539817515428
u13_SNP_A0_4,114.127,114.052,1539817556361,1539817670488
u13_SNP_A0_5,247.908,247.752,1539817697341,1539817945249
u13_SNP_A0_6,72.585,72.544,1539818021463,1539818094048
u13_SNP_A0_7,41.617,41.592,1539818120246,1539818161863
u14_HA_A0_6,14.684,14.652000000000001,1537480461944,1537480476628
u14_HA_A0_7,6.168,6.156,1537480485046,1537480491214
u14_HA_A0_1,21.228,21.18,1537480513993,1537480535221
u14_HA_A0_2,11.313,11.288,1537480540988,1537480552301
u14_HA_A0_3,33.586,33.512,1537480554321,1537480587907
u14_HA_A0_4,25.166,25.108,1537480612145,1537480637311
u14_HA_A0_5,44.139,44.04,1537480665357,1537480709496
u14_JOY_A0_4,25.07,25.012,1537394398455,1537394423525
u14_JOY_A0_5,43.049,42.956,1537394443087,1537394486136
u14_JOY_A0_6,15.211,15.18,1537394519881,1537394535092
u14_JOY_A0_7,9.302,9.28,1537394542704,1537394552006
u14_JOY_A0_1,12.416,12.392,1537394570716,1537394583132
u14_JOY_A0_2,14.163,14.132,1537394589405,1537394603568
u14_JOY_A0_3,7.066,7.048,1537394604615,1537394611681
u14_SNP_A0_5,124.862,124.584,1538664889683,1538665014545
u14_SNP_A0_6,33.33,33.256,1538665098613,1538665131943
